,no_neurons,electrode,correlation_coeff,inh_type,exc_type
0,10,0,-0.017962638592640565,CH,CH
1,10,1,-0.04456208356752132,CH,CH
2,10,2,-0.03532098412593668,CH,CH
3,10,3,-0.047431869460439265,CH,CH
4,10,4,-0.010409875711013256,CH,CH
5,10,5,0.01499931672303561,CH,CH
6,10,6,-0.03445289788112867,CH,CH
7,10,7,-0.04519144820682318,CH,CH
8,10,8,0.003784493205155351,CH,CH
9,10,9,-0.04012979416709405,CH,CH
10,10,10,-0.016846144922506818,CH,CH
11,10,11,0.009606889911628417,CH,CH
12,10,12,0.0008107704316672712,CH,CH
13,10,13,-0.033316759900938506,CH,CH
14,10,14,-0.013115955329066285,CH,CH
15,10,15,-0.01061766761260591,CH,CH
16,10,16,0.0011333156335484782,CH,CH
17,10,17,-0.009352086394834369,CH,CH
18,10,18,0.013649088631335078,CH,CH
19,10,19,-0.0270819577555913,CH,CH
20,10,20,-0.01474081465321306,CH,CH
21,10,21,0.0056383428982473525,CH,CH
22,10,22,0.02496898325045252,CH,CH
23,100,0,0.022424180134909648,CH,CH
24,100,1,-0.039070625908694374,CH,CH
25,100,2,-0.026798963093923447,CH,CH
26,100,3,-0.032038611642296856,CH,CH
27,100,4,-0.004817224082643225,CH,CH
28,100,5,-0.024102629982729523,CH,CH
29,100,6,-0.03790709773963296,CH,CH
30,100,7,-0.058142646571525326,CH,CH
31,100,8,0.010995917710156696,CH,CH
32,100,9,-0.047356085311418133,CH,CH
33,100,10,-0.015820914364640736,CH,CH
34,100,11,0.029979099263041948,CH,CH
35,100,12,0.006713145638643521,CH,CH
36,100,13,-0.01783229085749321,CH,CH
37,100,14,-0.004584173935083307,CH,CH
38,100,15,-0.007839083951033592,CH,CH
39,100,16,-0.0008803245757193793,CH,CH
40,100,17,-0.0017676231590880852,CH,CH
41,100,18,0.010100443139138148,CH,CH
42,100,19,-0.020802410421589815,CH,CH
43,100,20,-0.029371189044815903,CH,CH
44,100,21,-0.011577431818522775,CH,CH
45,100,22,0.020373984969548266,CH,CH
46,1000,0,0.0714259624972503,CH,CH
47,1000,1,-0.047131541166996534,CH,CH
48,1000,2,-0.0323251141703174,CH,CH
49,1000,3,-0.036208905591164894,CH,CH
50,1000,4,-0.011668142152345488,CH,CH
51,1000,5,-0.05849911714778977,CH,CH
52,1000,6,-0.036439266234921594,CH,CH
53,1000,7,-0.06587862337151591,CH,CH
54,1000,8,-0.005887451389447528,CH,CH
55,1000,9,-0.06542623098169556,CH,CH
56,1000,10,-0.037655273402371056,CH,CH
57,1000,11,0.03883083955203181,CH,CH
58,1000,12,-0.0042612651693242545,CH,CH
59,1000,13,-0.01941575645334717,CH,CH
60,1000,14,-0.014644741880635935,CH,CH
61,1000,15,-0.016598196142427246,CH,CH
62,1000,16,-0.008928922967835545,CH,CH
63,1000,17,-0.00711504285158435,CH,CH
64,1000,18,0.007173488647595485,CH,CH
65,1000,19,-0.021415339460559315,CH,CH
66,1000,20,-0.04902495036552126,CH,CH
67,1000,21,-0.025845023910834247,CH,CH
68,1000,22,0.015165434970665238,CH,CH
69,10,0,-0.025923454979868046,LTS,CH
70,10,1,-0.03617498991007415,LTS,CH
71,10,2,-0.030127907837257314,LTS,CH
72,10,3,-0.037381397717707966,LTS,CH
73,10,4,-0.010241063138113037,LTS,CH
74,10,5,0.011302298280242679,LTS,CH
75,10,6,-0.029067549719641962,LTS,CH
76,10,7,-0.036017907965293826,LTS,CH
77,10,8,8.945609719186913e-05,LTS,CH
78,10,9,-0.03180205717360925,LTS,CH
79,10,10,-0.015527948752430425,LTS,CH
80,10,11,0.005313428248514798,LTS,CH
81,10,12,-0.0009958202059413314,LTS,CH
82,10,13,-0.02720165099972545,LTS,CH
83,10,14,-0.012320488010091347,LTS,CH
84,10,15,-0.00888964207906833,LTS,CH
85,10,16,-7.934761978957642e-05,LTS,CH
86,10,17,-0.009678479949193759,LTS,CH
87,10,18,0.009287311853923069,LTS,CH
88,10,19,-0.023290934445321314,LTS,CH
89,10,20,-0.011708848263844501,LTS,CH
90,10,21,0.006511499274087501,LTS,CH
91,10,22,0.020963002280429896,LTS,CH
92,100,0,0.0044839618622933355,LTS,CH
93,100,1,-0.03220828335049235,LTS,CH
94,100,2,-0.023427740722773795,LTS,CH
95,100,3,-0.025539651674383868,LTS,CH
96,100,4,-0.006222329431731728,LTS,CH
97,100,5,-0.022681826228445782,LTS,CH
98,100,6,-0.03191017745093983,LTS,CH
99,100,7,-0.04667162186245968,LTS,CH
100,100,8,0.006487363923174865,LTS,CH
101,100,9,-0.03822954211604234,LTS,CH
102,100,10,-0.01388091805967548,LTS,CH
103,100,11,0.021951157191032074,LTS,CH
104,100,12,0.004843431994452963,LTS,CH
105,100,13,-0.01434449776085611,LTS,CH
106,100,14,-0.005414657318153075,LTS,CH
107,100,15,-0.0068603658526939825,LTS,CH
108,100,16,-0.0010719694758824653,LTS,CH
109,100,17,-0.004035952317226701,LTS,CH
110,100,18,0.004981017688619404,LTS,CH
111,100,19,-0.01813402402312965,LTS,CH
112,100,20,-0.023248336802431508,LTS,CH
113,100,21,-0.008028040814976932,LTS,CH
114,100,22,0.017343159731918734,LTS,CH
115,1000,0,0.04451088061589303,LTS,CH
116,1000,1,-0.039006008786101484,LTS,CH
117,1000,2,-0.028473677163147724,LTS,CH
118,1000,3,-0.028645388396588953,LTS,CH
119,1000,4,-0.011956050644565947,LTS,CH
120,1000,5,-0.05100069941580685,LTS,CH
121,1000,6,-0.029610521788313585,LTS,CH
122,1000,7,-0.05371343676666264,LTS,CH
123,1000,8,-0.0087199845160656,LTS,CH
124,1000,9,-0.05362114321128571,LTS,CH
125,1000,10,-0.03324298933805719,LTS,CH
126,1000,11,0.028144364307428317,LTS,CH
127,1000,12,-0.005046381610514977,LTS,CH
128,1000,13,-0.016684665544896584,LTS,CH
129,1000,14,-0.015109816637545967,LTS,CH
130,1000,15,-0.015882203779844836,LTS,CH
131,1000,16,-0.009349711338804296,LTS,CH
132,1000,17,-0.008453746340270072,LTS,CH
133,1000,18,0.0017109481019937855,LTS,CH
134,1000,19,-0.019165475613894117,LTS,CH
135,1000,20,-0.03921889767976113,LTS,CH
136,1000,21,-0.01991167840756863,LTS,CH
137,1000,22,0.013010811620898628,LTS,CH
138,10,0,-0.026050329928902854,LTS,CH
139,10,1,-0.03661532645480779,LTS,CH
140,10,2,-0.030438092363579698,LTS,CH
141,10,3,-0.03799166668670392,LTS,CH
142,10,4,-0.01051921057727679,LTS,CH
143,10,5,0.011137348258581418,LTS,CH
144,10,6,-0.02901162656979211,LTS,CH
145,10,7,-0.03597116336148643,LTS,CH
146,10,8,0.0002978053501223061,LTS,CH
147,10,9,-0.03176946893361433,LTS,CH
148,10,10,-0.015277083367856702,LTS,CH
149,10,11,0.005172161603300392,LTS,CH
150,10,12,-0.0006405533028276816,LTS,CH
151,10,13,-0.027165608195737153,LTS,CH
152,10,14,-0.012162094997090724,LTS,CH
153,10,15,-0.00888747124996287,LTS,CH
154,10,16,0.00020124092518568885,LTS,CH
155,10,17,-0.009961178093466394,LTS,CH
156,10,18,0.008885085693904792,LTS,CH
157,10,19,-0.02327531760892815,LTS,CH
158,10,20,-0.011380481771313067,LTS,CH
159,10,21,0.006540299800070732,LTS,CH
160,10,22,0.02098255000593824,LTS,CH
161,100,0,0.005264745221862439,LTS,CH
162,100,1,-0.03199259622416978,LTS,CH
163,100,2,-0.02302121005817852,LTS,CH
164,100,3,-0.0254887144370546,LTS,CH
165,100,4,-0.005965333664901894,LTS,CH
166,100,5,-0.02310366421504755,LTS,CH
167,100,6,-0.031656900670581196,LTS,CH
168,100,7,-0.047426921224679765,LTS,CH
169,100,8,0.006629497580039657,LTS,CH
170,100,9,-0.038500534391502625,LTS,CH
171,100,10,-0.013598056712134534,LTS,CH
172,100,11,0.021722911923091698,LTS,CH
173,100,12,0.004920135497322826,LTS,CH
174,100,13,-0.014489845844287627,LTS,CH
175,100,14,-0.005228977046812267,LTS,CH
176,100,15,-0.006610277006078307,LTS,CH
177,100,16,-0.0004004869008801311,LTS,CH
178,100,17,-0.003768562381508506,LTS,CH
179,100,18,0.0050682735813216825,LTS,CH
180,100,19,-0.018055427630908363,LTS,CH
181,100,20,-0.02299512404370423,LTS,CH
182,100,21,-0.008284972497419926,LTS,CH
183,100,22,0.017274617502657685,LTS,CH
184,1000,0,0.04198862432841072,LTS,CH
185,1000,1,-0.03910898113701997,LTS,CH
186,1000,2,-0.028529948021616656,LTS,CH
187,1000,3,-0.028672676322277175,LTS,CH
188,1000,4,-0.011974961331360778,LTS,CH
189,1000,5,-0.05189425902294134,LTS,CH
190,1000,6,-0.0303565534298342,LTS,CH
191,1000,7,-0.05443311544525589,LTS,CH
192,1000,8,-0.009027713238967885,LTS,CH
193,1000,9,-0.05389534969259892,LTS,CH
194,1000,10,-0.033347406304904945,LTS,CH
195,1000,11,0.027310642912114384,LTS,CH
196,1000,12,-0.005564284498638353,LTS,CH
197,1000,13,-0.017188056070485024,LTS,CH
198,1000,14,-0.015618944026212693,LTS,CH
199,1000,15,-0.01658502211027654,LTS,CH
200,1000,16,-0.00998229142432294,LTS,CH
201,1000,17,-0.008506312368824171,LTS,CH
202,1000,18,0.0030746268450901554,LTS,CH
203,1000,19,-0.020274735689447262,LTS,CH
204,1000,20,-0.0400671749065788,LTS,CH
205,1000,21,-0.019151934228360454,LTS,CH
206,1000,22,0.013138505639867541,LTS,CH
207,10,0,-0.02409949393651473,LTS,CH
208,10,1,-0.03579045798940058,LTS,CH
209,10,2,-0.029874979879460802,LTS,CH
210,10,3,-0.036281416920427155,LTS,CH
