'sample #','EEG Fp1','EEG Fp2','EEG F3','EEG F4','EEG F7','EEG F8','EEG T3','EEG T4','EEG C3','EEG C4','EEG T5','EEG T6','EEG P3','EEG P4','EEG O1','EEG O2','EEG Fz','EEG Cz','EEG Pz','EEG A2-A1','ECG ECG','EDF Annotations'
0,-6735,3084,-5562,-7061,-4125,-3169,2220,-3030,-6036,-5329,240,-1672,-983,2382,-1832,2269,-8128,1753,1719,-5749,-16731,12331
1,-7104,2703,-5830,-7257,-4260,-3320,2656,-2355,-5741,-5049,753,-507,157,3588,-952,3112,-8324,4105,3285,-6328,-16992,12331
2,-7554,2298,-6228,-7554,-4365,-3433,3273,-1488,-5428,-4752,1439,985,1581,5105,205,4137,-8617,7013,5207,-7045,-17382,12331
3,-8024,1951,-6735,-7933,-4428,-3446,4027,-522,-5153,-4495,2254,2643,3123,6765,1557,5243,-8993,10006,7239,-7766,-17890,12331
4,-8442,1738,-7298,-8355,-4459,-3304,4844,423,-4963,-4322,3133,4264,4570,8352,2991,6326,-9411,12492,9086,-8316,-18490,12331
5,-8741,1695,-7840,-8760,-4487,-2985,5632,1225,-4875,-4260,4008,5639,5733,9666,4385,7304,-9816,13925,10486,-8530,-19139,12331
6,-8879,1817,-8278,-9092,-4546,-2510,6306,1790,-4878,-4313,4820,6620,6474,10544,5626,8126,-10151,13986,11281,-8320,-19791,12331
7,-8852,2053,-8549,-9314,-4647,-1958,6805,2059,-4941,-4479,5518,7133,6731,10892,6610,8755,-10378,12689,11434,-7720,-20403,12331
8,-8691,2328,-8623,-9428,-4768,-1454,7092,2000,-5042,-4780,6055,7173,6507,10670,7237,9142,-10490,10390,11018,-6899,-20939,12331
9,-8455,2570,-8520,-9485,-4850,-1151,7149,1597,-5187,-5273,6383,6776,5835,9863,7401,9200,-10529,7653,10153,-6130,-21376,5140
10,-8219,2727,-8304,-9571,-4820,-1197,6958,822,-5421,-6051,6445,5982,4751,8465,7003,8812,-10571,5078,8950,-5717,-21703,5140
11,-8051,2780,-8060,-9787,-4611,-1697,6495,-351,-5813,-7219,6189,4812,3279,6476,5965,7858,-10715,3103,7463,-5905,-21921,5140
12,-7998,2735,-7869,-10209,-4186,-2683,5730,-1933,-6428,-8837,5577,3271,1435,3916,4269,6266,-11041,1897,5690,-6803,-22037,5140
13,-8069,2614,-7775,-10856,-3548,-4089,4644,-3892,-7282,-10875,4612,1374,-747,861,1989,4061,-11585,1347,3603,-8346,-22068,5140
14,-8231,2445,-7768,-11669,-2735,-5750,3256,-6122,-8318,-13184,3345,-827,-3189,-2545,-718,1382,-12307,1165,1198,-10311,-22033,5140
15,-8411,2261,-7788,-12515,-1804,-7427,1642,-8442,-9400,-15500,1873,-3218,-5752,-6080,-3610,-1532,-13093,1034,-1459,-12375,-21956,5140
16,-8514,2100,-7741,-13217,-823,-8852,-57,-10614,-10336,-17499,328,-5623,-8251,-9472,-6411,-4393,-13772,760,-4220,-14211,-21863,5140
17,-8439,2012,-7540,-13597,140,-9782,-1654,-12394,-10930,-18874,-1158,-7837,-10482,-12450,-8870,-6935,-14168,340,-6860,-15576,-21776,5140
18,-8109,2069,-7131,-13531,1013,-10055,-2953,-13599,-11035,-19419,-2475,-9675,-12269,-14808,-10813,-8976,-14140,-43,-9144,-16368,-21710,0
19,-7485,2351,-6518,-12977,1728,-9627,-3793,-14147,-10590,-19085,-3556,-11024,-13498,-16437,-12166,-10454,-13628,-118,-10872,-16644,-21675,0
20,-6571,2939,-5757,-11986,2229,-8570,-4080,-14080,-9633,-17989,-4377,-11867,-14141,-17347,-12960,-11426,-12663,361,-11932,-16576,-21670,0
21,-5408,3890,-4933,-10681,2491,-7048,-3799,-13545,-8278,-16373,-4945,-12283,-14239,-17645,-13286,-12025,-11355,1512,-12316,-16387,-21688,0
22,-4060,5214,-4125,-9216,2540,-5269,-3012,-12734,-6674,-14524,-5275,-12409,-13875,-17478,-13253,-12403,-9855,3286,-12085,-16270,-21716,0
23,-2595,6861,-3377,-7730,2467,-3431,-1819,-11831,-4956,-12698,-5373,-12384,-13134,-16988,-12941,-12678,-8312,5485,-11343,-16330,-21747,0
24,-1072,8723,-2682,-6323,2416,-1679,-333,-10956,-3210,-11060,-5225,-12303,-12071,-16263,-12374,-12899,-6837,7836,-10186,-16565,-21774,0
25,460,10644,-1990,-5041,2548,-92,1348,-10147,-1470,-9658,-4812,-12189,-10708,-15332,-11537,-13046,-5489,10078,-8678,-16883,-21801,0
26,1957,12451,-1233,-3891,3003,1304,3152,-9376,264,-8449,-4126,-12001,-9043,-14180,-10399,-13053,-4284,12017,-6854,-17148,-21832,0
27,3379,13987,-359,-2862,3846,2512,5025,-8582,2001,-7343,-3187,-11663,-7088,-12783,-8957,-12840,-3215,13577,-4746,-17236,-21872,0
28,4678,15140,641,-1951,5055,3531,6915,-7707,3726,-6249,-2059,-11100,-4890,-11139,-7262,-12342,-2279,14786,-2407,-17071,-21920,0
29,5804,15861,1725,-1167,6512,4343,8760,-6726,5384,-5113,-847,-10271,-2549,-9294,-5427,-11524,-1484,15738,64,-16648,-21970,0
